,Time (s),Power (Watts)
0,0.001,3.95113e-06
1,0.002,3.91959e-06
2,0.004,4.00792e-06
3,0.006,4.0584e-06
4,0.007,4.06628e-06
5,0.009,4.02842e-06
6,0.01,3.95429e-06
7,0.012,3.92905e-06
8,0.014,3.96533e-06
9,0.015,4.01896e-06
10,0.016,4.07101e-06
11,0.017,4.07259e-06
12,0.019,3.99057e-06
13,0.021,3.91643e-06
14,0.023,3.91959e-06
15,0.024,3.95744e-06
16,0.025,4.00792e-06
17,0.026,4.06471e-06
18,0.027,4.08521e-06
19,0.028,4.06786e-06
20,0.029,4.03e-06
21,0.03,3.99057e-06
22,0.031,3.95429e-06
23,0.032,3.92905e-06
24,0.034,3.96691e-06
25,0.035,4.01738e-06
26,0.036,4.06628e-06
27,0.037,4.07259e-06
28,0.039,4.03473e-06
29,0.04,3.98899e-06
30,0.041,3.94798e-06
31,0.042,3.91801e-06
32,0.044,4.00792e-06
33,0.046,4.08521e-06
34,0.048,4.06944e-06
35,0.049,3.98899e-06
36,0.051,3.95271e-06
37,0.052,3.92116e-06
38,0.053,3.96375e-06
39,0.055,4.01738e-06
40,0.056,4.09468e-06
41,0.058,4.06944e-06
42,0.059,3.98899e-06
43,0.061,3.94798e-06
44,0.062,3.91012e-06
45,0.063,3.95587e-06
46,0.065,4.0584e-06
47,0.067,4.06786e-06
48,0.069,3.99372e-06
49,0.071,3.92432e-06
50,0.073,3.96533e-06
51,0.075,4.07101e-06
52,0.077,4.07101e-06
53,0.079,3.98899e-06
54,0.081,3.91801e-06
55,0.083,3.95587e-06
56,0.085,4.0584e-06
57,0.087,4.06628e-06
58,0.089,3.99057e-06
59,0.091,3.92116e-06
60,0.093,3.96375e-06
61,0.095,4.01896e-06
62,0.096,4.0931e-06
63,0.098,4.02842e-06
64,0.1,3.94798e-06
65,0.102,3.91801e-06
66,0.104,4.00792e-06
67,0.106,4.08837e-06
68,0.108,4.02842e-06
69,0.11,3.98741e-06
70,0.111,3.92274e-06
71,0.113,3.97006e-06
72,0.115,4.06944e-06
73,0.117,4.07417e-06
74,0.119,3.98741e-06
75,0.121,3.91959e-06
76,0.123,3.95744e-06
77,0.125,4.06471e-06
78,0.127,4.06628e-06
79,0.129,3.99215e-06
80,0.131,3.92274e-06
81,0.133,3.96848e-06
82,0.135,4.06944e-06
83,0.137,4.09468e-06
84,0.138,4.03316e-06
85,0.14,3.94798e-06
86,0.142,3.92116e-06
87,0.144,4.01265e-06
88,0.146,4.08521e-06
89,0.149,4.02527e-06
90,0.15,3.95271e-06
91,0.152,3.92905e-06
92,0.154,4.02369e-06
93,0.156,4.09468e-06
94,0.158,4.03316e-06
95,0.16,3.9464e-06
96,0.162,3.92274e-06
97,0.164,4.01107e-06
98,0.166,4.08363e-06
99,0.168,4.02685e-06
100,0.17,3.95429e-06
101,0.172,3.93063e-06
102,0.174,4.02369e-06
103,0.176,4.09152e-06
104,0.178,4.02842e-06
105,0.18,3.94956e-06
106,0.182,3.92116e-06
107,0.184,4.01265e-06
108,0.186,4.08521e-06
109,0.188,4.02527e-06
110,0.19,3.95429e-06
111,0.192,3.93063e-06
112,0.194,4.02685e-06
113,0.196,4.0931e-06
114,0.198,4.02685e-06
115,0.2,3.9464e-06
116,0.202,3.91959e-06
117,0.204,4.01265e-06
118,0.206,4.08521e-06
119,0.208,4.02369e-06
120,0.21,3.94956e-06
121,0.212,3.9259e-06
122,0.214,4.02527e-06
123,0.216,4.0931e-06
124,0.218,4.03e-06
125,0.22,3.9464e-06
126,0.222,3.91959e-06
127,0.224,4.01896e-06
128,0.226,4.08521e-06
129,0.228,4.02527e-06
130,0.23,3.95113e-06
131,0.232,3.93063e-06
132,0.234,4.02369e-06
133,0.236,4.08837e-06
134,0.238,4.03e-06
135,0.24,3.94325e-06
136,0.242,3.92116e-06
137,0.244,4.01423e-06
138,0.246,4.08363e-06
139,0.248,4.02212e-06
140,0.25,3.95429e-06
141,0.252,3.92274e-06
142,0.253,3.97637e-06
143,0.255,4.07259e-06
144,0.257,4.07259e-06
145,0.259,3.98584e-06
146,0.261,3.91328e-06
147,0.263,3.96375e-06
148,0.265,4.06471e-06
149,0.267,4.06471e-06
150,0.269,3.99057e-06
151,0.271,3.92747e-06
152,0.273,3.97164e-06
153,0.275,4.07259e-06
154,0.277,4.06944e-06
155,0.279,3.98741e-06
156,0.281,3.91643e-06
157,0.283,3.96375e-06
158,0.285,4.06786e-06
159,0.287,4.06628e-06
160,0.289,3.98899e-06
161,0.291,3.92432e-06
162,0.293,3.97322e-06
163,0.295,4.07259e-06
164,0.297,4.06944e-06
165,0.299,4.02527e-06
166,0.3,3.94482e-06
167,0.302,3.92274e-06
168,0.304,4.01738e-06
169,0.306,4.08679e-06
170,0.308,4.02054e-06
171,0.31,3.95113e-06
172,0.312,3.93063e-06
173,0.314,4.02527e-06
174,0.316,4.09468e-06
175,0.318,4.02527e-06
176,0.32,3.94956e-06
177,0.322,3.9259e-06
178,0.324,4.01738e-06
179,0.326,4.08521e-06
180,0.328,4.02527e-06
181,0.33,3.99372e-06
182,0.339,3.98741e-06
183,0.343,3.92905e-06
184,0.344,3.96375e-06
185,0.345,4.01896e-06
186,0.346,4.06471e-06
187,0.347,4.08363e-06
188,0.348,4.06944e-06
189,0.349,4.02685e-06
190,0.35,3.99057e-06
191,0.351,3.95113e-06
192,0.352,3.92274e-06
193,0.353,3.93221e-06
194,0.354,3.97479e-06
195,0.355,4.02842e-06
196,0.356,4.07575e-06
197,0.357,4.09468e-06
198,0.384,3.97006e-06
199,0.385,4.01896e-06
200,0.386,4.06628e-06
201,0.387,4.0931e-06
202,0.388,4.06471e-06
203,0.389,4.02685e-06
204,0.39,3.99057e-06
205,0.391,3.95113e-06
206,0.392,3.92905e-06
207,0.393,3.93536e-06
208,0.394,3.97322e-06
209,0.395,4.03158e-06
210,0.396,4.07732e-06
211,0.397,4.09468e-06
212,0.398,4.02527e-06
213,0.409,4.02369e-06
214,0.41,3.99215e-06
215,0.411,3.95113e-06
216,0.412,3.92116e-06
217,0.413,3.93694e-06
218,0.414,3.97637e-06
219,0.415,4.03158e-06
220,0.416,4.07417e-06
221,0.417,4.10256e-06
222,0.418,4.06786e-06
223,0.419,4.02527e-06
224,0.42,3.98426e-06
225,0.421,3.94956e-06
226,0.422,3.91485e-06
227,0.423,3.9259e-06
228,0.424,3.96691e-06
229,0.425,4.02054e-06
230,0.426,4.06944e-06
231,0.427,4.08837e-06
232,0.428,4.06155e-06
233,0.429,4.02842e-06
234,0.43,3.98741e-06
235,0.431,3.95113e-06
236,0.448,4.02527e-06
237,0.45,3.98584e-06
238,0.451,3.95113e-06
239,0.452,3.92747e-06
240,0.453,3.93694e-06
241,0.454,3.9811e-06
242,0.455,4.03e-06
243,0.456,4.0789e-06
244,0.457,4.09783e-06
245,0.458,4.06944e-06
246,0.459,4.02685e-06
247,0.46,3.98899e-06
248,0.461,3.94482e-06
249,0.462,3.91643e-06
250,0.463,3.93063e-06
251,0.464,3.97006e-06
252,0.465,4.02212e-06
253,0.466,4.06944e-06
254,0.467,4.08994e-06
255,0.468,4.06471e-06
256,0.469,4.02212e-06
257,0.47,3.99057e-06
258,0.471,3.95113e-06
259,0.472,3.9259e-06
260,0.473,3.93851e-06
261,0.474,3.97953e-06
262,0.475,4.03789e-06
263,0.476,4.0789e-06
264,0.477,4.09783e-06
265,0.478,4.06944e-06
266,0.479,4.02212e-06
267,0.48,3.98741e-06
268,0.481,3.9464e-06
269,0.482,3.91801e-06
270,0.483,3.92747e-06
271,0.484,3.97322e-06
272,0.485,4.02842e-06
273,0.486,4.07101e-06
274,0.487,4.08994e-06
275,0.488,4.06471e-06
276,0.489,4.02369e-06
277,0.49,3.99215e-06
278,0.491,3.95271e-06
279,0.492,3.92747e-06
280,0.493,3.93851e-06
281,0.494,3.98268e-06
282,0.495,4.03473e-06
283,0.496,4.08206e-06
284,0.497,4.09941e-06
285,0.498,4.06628e-06
286,0.499,4.02527e-06
287,0.5,3.98741e-06
288,0.501,3.91801e-06
289,0.503,3.97006e-06
290,0.505,4.02685e-06
291,0.506,4.07417e-06
292,0.507,4.08994e-06
293,0.508,4.06628e-06
294,0.509,4.03158e-06
295,0.51,3.98899e-06
296,0.511,3.95271e-06
297,0.512,3.93063e-06
298,0.513,3.94009e-06
299,0.514,3.98268e-06
300,0.515,4.03789e-06
301,0.516,4.08363e-06
302,0.517,4.09941e-06
303,0.518,4.06786e-06
304,0.519,4.02842e-06
305,0.52,3.98741e-06
306,0.521,3.94798e-06
307,0.522,3.92116e-06
308,0.523,3.93221e-06
309,0.524,3.97479e-06
310,0.525,4.07417e-06
311,0.527,4.08994e-06
312,0.528,4.06786e-06
313,0.529,4.02842e-06
314,0.53,3.99845e-06
315,0.531,3.95744e-06
316,0.532,3.92905e-06
317,0.533,3.94325e-06
318,0.534,3.98584e-06
319,0.535,4.03789e-06
320,0.536,4.08521e-06
321,0.537,4.10414e-06
322,0.538,4.07417e-06
323,0.539,4.03473e-06
324,0.54,3.99215e-06
325,0.541,3.9464e-06
326,0.542,3.92905e-06
327,0.543,3.93694e-06
328,0.544,4.02685e-06
329,0.546,4.07732e-06
330,0.547,4.09625e-06
331,0.548,4.06944e-06
332,0.549,4.03e-06
333,0.55,3.99372e-06
334,0.551,3.95744e-06
335,0.552,3.93221e-06
336,0.553,3.9464e-06
337,0.554,3.98899e-06
338,0.555,4.04262e-06
339,0.556,4.08679e-06
340,0.557,4.10572e-06
341,0.558,4.07575e-06
342,0.559,4.03316e-06
343,0.56,3.99372e-06
344,0.561,3.95744e-06
345,0.562,3.92432e-06
346,0.563,3.93851e-06
347,0.564,3.98426e-06
348,0.565,4.03473e-06
349,0.566,4.08206e-06
350,0.567,4.10099e-06
351,0.568,4.06944e-06
352,0.569,4.03316e-06
353,0.57,4.00161e-06
354,0.571,3.9606e-06
355,0.572,3.93694e-06
356,0.573,3.95113e-06
357,0.574,3.99372e-06
358,0.575,4.04578e-06
359,0.576,4.08994e-06
360,0.577,4.11045e-06
361,0.578,4.0789e-06
362,0.579,4.03631e-06
363,0.58,3.9953e-06
364,0.581,3.95744e-06
365,0.582,3.92905e-06
366,0.583,3.94482e-06
367,0.584,3.9811e-06
368,0.585,4.03947e-06
369,0.586,4.08521e-06
370,0.587,4.10099e-06
371,0.588,4.07575e-06
372,0.589,4.00319e-06
373,0.591,3.9606e-06
374,0.592,3.95429e-06
375,0.594,4.05209e-06
376,0.596,4.10887e-06
377,0.598,4.07732e-06
378,0.599,4.00003e-06
379,0.601,3.95902e-06
380,0.602,3.94325e-06
381,0.604,4.04104e-06
382,0.606,4.08679e-06
383,0.607,4.08048e-06
384,0.609,4.03631e-06
385,0.61,3.96533e-06
386,0.612,3.94482e-06
387,0.613,4.00003e-06
388,0.615,4.05209e-06
389,0.616,4.1136e-06
390,0.618,4.04578e-06
391,0.62,3.9606e-06
392,0.622,3.94956e-06
393,0.624,4.04578e-06
394,0.626,4.08994e-06
395,0.627,4.08206e-06
396,0.629,4.04262e-06
397,0.63,3.97164e-06
398,0.632,3.95902e-06
399,0.634,4.00319e-06
400,0.636,4.10099e-06
401,0.637,4.11676e-06
402,0.638,4.0442e-06
403,0.64,3.96375e-06
404,0.642,3.94009e-06
405,0.643,3.99688e-06
406,0.645,4.05366e-06
407,0.646,4.09625e-06
408,0.647,4.11203e-06
409,0.648,4.05051e-06
410,0.65,4.01265e-06
411,0.651,3.94798e-06
412,0.653,3.96375e-06
413,0.654,4.05997e-06
414,0.656,4.10572e-06
415,0.657,4.08679e-06
416,0.659,4.0095e-06
417,0.661,3.97164e-06
418,0.662,3.95744e-06
419,0.664,4.00319e-06
420,0.665,4.09783e-06
421,0.667,4.08521e-06
422,0.669,4.01423e-06
423,0.671,3.95271e-06
424,0.673,4.01265e-06
425,0.675,4.10887e-06
426,0.677,4.0931e-06
427,0.679,4.01423e-06
428,0.681,3.94482e-06
429,0.683,4.00161e-06
430,0.685,4.10099e-06
431,0.687,4.08994e-06
432,0.689,4.01581e-06
433,0.691,3.95429e-06
434,0.693,4.01423e-06
435,0.695,4.1136e-06
436,0.698,4.09783e-06
437,0.699,4.01265e-06
438,0.701,3.9464e-06
439,0.703,4.00634e-06
440,0.705,4.10414e-06
441,0.707,4.0931e-06
442,0.709,4.01738e-06
443,0.711,3.95587e-06
444,0.713,4.01738e-06
